Timestamp,Distraction
2025-06-18 23:41:45,No face or eyes detected
2025-06-18 23:41:51,No face or eyes detected
Timestamp,Distraction
2025-06-19 13:05:03,No face or eyes detected
2025-06-19 13:05:12,No face or eyes detected
2025-06-19 13:05:44,No face or eyes detected
2025-06-19 13:06:03,No face or eyes detected
2025-06-19 13:06:11,No face or eyes detected
2025-06-19 13:06:37,No face or eyes detected
2025-06-19 13:06:48,No face or eyes detected
Timestamp,Distraction
2025-06-27 10:21:53,No face or eyes detected
2025-06-27 10:22:09,No face or eyes detected
Timestamp,Distraction
2025-06-27 16:29:40,No face or eyes detected
2025-06-27 16:29:42,No face or eyes detected
Timestamp,Distraction
2025-07-02 16:09:50,No face or eyes detected
2025-07-02 16:09:54,No face or eyes detected
2025-07-02 16:10:01,No face or eyes detected
Timestamp,Distraction
2025-07-02 16:39:45,No face or eyes detected
2025-07-02 16:40:02,No face or eyes detected
2025-07-02 16:40:06,No face or eyes detected
2025-07-02 16:40:19,No face or eyes detected
Timestamp,Distraction
Timestamp,Distraction
Timestamp,Distraction
2025-07-03 10:13:33,No face or eyes detected
2025-07-03 10:13:47,No face or eyes detected
Timestamp,Distraction
Timestamp,Distraction
Timestamp,Distraction
Timestamp,Distraction
2025-07-03 11:11:02,No face or eyes detected
2025-07-03 11:11:06,No face or eyes detected
Timestamp,Distraction
Timestamp,Distraction
Timestamp,Distraction
Timestamp,Distraction
Timestamp,Distraction
2025-07-04 13:28:39,No face or eyes detected
